gid,__gid,id,entidad,nombre,wikilabel,ISO 3166-2 code,MS_FB,MS_FB_PARE,WIKIDATA,circunscri,crc,control,geometry1_
1,1,1,1,AGUASCALIENTES,Aguascalientes,MX-AGU,country:mx/state:agu,country:mx,Q79952,2,1,1,
2,1,1,2,BAJA CALIFORNIA,Baja California,MX-BCN,country:mx/state:bcn,country:mx,Q58731,1,8,1,
3,1,1,3,BAJA CALIFORNIA SUR,Baja California Sur,MX-BCS,country:mx/state:bcs,country:mx,Q46508,1,4,1,
4,1,1,4,CAMPECHE,Campeche,MX-CAM,country:mx/state:cam,country:mx,Q80908,3,10,1,
5,1,1,5,COAHUILA,Coahuila,MX-COA,country:mx/state:coa,country:mx,Q53079,2,11,1,
6,1,2,6,COLIMA,Colima,MX-COL,country:mx/state:col,country:mx,Q61309,1,7,1,
7,1,1,7,CHIAPAS,Chiapas,MX-CHP,country:mx/state:chp,country:mx,Q60123,3,17,1,
8,1,1,8,CHIHUAHUA,Chihuahua,MX-CHH,country:mx/state:chh,country:mx,Q655,2,5,0,
9,1,1,9,DISTRITO FEDERAL,Mexico City,MX-CMX,country:mx/federal-district:cmx,country:mx,Q1489,4,6,1,
10,1,1,10,DURANGO,Durango,MX-DUR,country:mx/state:dur,country:mx,Q79918,1,1,1,
11,1,1,11,GUANAJUATO,Guanajuato,MX-GUA,country:mx/state:gua,country:mx,Q46475,1,15,0,
12,1,1,12,GUERRERO,Guerrero,MX-GRO,country:mx/state:gro,country:mx,Q60158,5,3,1,
13,1,1,13,HIDALGO,Hidalgo,MX-HID,country:mx/state:hid,country:mx,Q80903,5,2,1,
14,1,2,14,JALISCO,Jalisco,MX-JAL,country:mx/state:jal,country:mx,Q13160,1,7,1,
15,1,1,15,MEXICO,México,MX-MEX,country:mx/state:mex,country:mx,Q82112,5,16,1,
16,1,1,16,MICHOACAN,Michoacán,MX-MIC,country:mx/state:mic,country:mx,Q79861,5,12,0,
17,1,1,17,MORELOS,Morelos,MX-MOR,country:mx/state:mor,country:mx,Q66117,4,3,0,
18,1,1,18,NAYARIT,Nayarit,MX-NAY,country:mx/state:nay,country:mx,Q79920,1,7,2,
19,1,1,19,NUEVO LEON,Nuevo León,MX-NLE,country:mx/state:nle,country:mx,Q15282,2,11,1,
20,1,1,20,OAXACA,Oaxaca,MX-OAX,country:mx/state:oax,country:mx,Q34110,3,13,1,
21,1,1,21,PUEBLA,Puebla,MX-PUE,country:mx/state:pue,country:mx,Q79923,4,14,1,
22,2,1,22,QUERETARO,Querétaro,MX-QUE,country:mx/state:que,country:mx,Q79754,2,15,1,
23,1,1,23,QUINTANA ROO,Quintana Roo,MX-ROO,country:mx/state:roo,country:mx,Q80245,3,10,0,
24,3,1,24,SAN LUIS POTOSI,San Luis Potosí,MX-SLP,country:mx/state:slp,country:mx,Q78980,2,1,1,
25,2,1,25,SINALOA,Sinaloa,MX-SIN,country:mx/state:sin,country:mx,Q80252,1,4,1,
26,3,1,26,SONORA,Sonora,MX-SON,country:mx/state:son,country:mx,Q46422,1,11,1,
27,1,1,27,TABASCO,Tabasco,MX-TAB,country:mx/state:tab,country:mx,Q80914,3,17,1,
28,1,1,28,TAMAULIPAS,Tamaulipas,MX-TAM,country:mx/state:tam,country:mx,Q80007,2,11,1,
29,1,1,29,TLAXCALA,Tlaxcala,MX-TLA,country:mx/state:tla,country:mx,Q82681,4,14,1,
30,2,1,30,VERACRUZ,Veracruz,MX-VER,country:mx/state:ver,country:mx,Q60130,3,9,2,
31,1,1,31,YUCATAN,Yucatán,MX-YUC,country:mx/state:yuc,country:mx,Q60176,3,10,1,
32,1,2,32,ZACATECAS,Zacatecas,MX-ZAC,country:mx/state:zac,country:mx,Q80269,2,1,1,
